# Time-averaged data for fix mythermo
# TimeStep c_enkin c_enpot
10500 1483.68 -5082.71
10600 1474.28 -5146.82
10700 1483.36 -5117.87
10800 1446.07 -5057.78
10900 1464.13 -5130.17
11000 1428.11 -5111.22
11100 1494.37 -5105.9
11200 1486.31 -5156.38
11300 1514.54 -5117.48
11400 1525.27 -5080.84
11500 1554.95 -5033.33
11600 1522.86 -5056.78
11700 1478.97 -5136.93
11800 1481.56 -5143.91
11900 1487.44 -5100.65
12000 1481.98 -5198.63
12100 1500.6 -5150.11
12200 1492.63 -5091.2
12300 1473.74 -5102.94
12400 1424.5 -5141.01
12500 1471.81 -5093.13
12600 1567.3 -5149.78
12700 1542.38 -5057.82
12800 1497.05 -5107.62
12900 1496.86 -5125.26
13000 1492.17 -5115.27
13100 1480.97 -5069.92
13200 1543.66 -5165.37
13300 1495.3 -5112.62
13400 1509.83 -5135.63
13500 1464.52 -5117.61
13600 1508.87 -5084.86
13700 1532.89 -5071.06
13800 1488.88 -5152.31
13900 1425.59 -5129.86
14000 1494.24 -5075.31
14100 1502.86 -5139.31
14200 1476.14 -5126.18
14300 1493.78 -5176.28
14400 1484.73 -5156.47
14500 1426.94 -5112.22
14600 1502.5 -5132.87
14700 1511.46 -5005.31
14800 1455.11 -5030.75
14900 1442.01 -5080.51
15000 1526.43 -5155.57
15100 1458.93 -5132.68
15200 1456.38 -5160.43
15300 1410.08 -5083.22
15400 1462.56 -5163.24
15500 1424.38 -5133.26
15600 1516.97 -5136.25
15700 1478.24 -5094.17
15800 1510.33 -5073.91
15900 1444.37 -5141.76
16000 1472.44 -5152.43
16100 1505.21 -5170.22
16200 1501.37 -5116.78
16300 1514.16 -5145.84
16400 1509.63 -5120.89
16500 1438.69 -5151.2
16600 1451.41 -5127.81
16700 1505.08 -5102.55
16800 1523.37 -5089.57
16900 1556.79 -5060.15
17000 1487.3 -5150.69
17100 1510.6 -5073.31
17200 1491.2 -5136.14
17300 1500.72 -5103.73
17400 1405.28 -5157.71
17500 1491.35 -5109.82
17600 1490.44 -5072.29
17700 1502.48 -5132.11
17800 1605.44 -5064.56
17900 1515.46 -5078.07
18000 1481.13 -5056.65
18100 1571.01 -5142.05
18200 1503.29 -5130.48
18300 1503.33 -5073.94
18400 1502.74 -5120.33
18500 1425.65 -5099.66
18600 1498.93 -5061.31
18700 1532.6 -5081.64
18800 1468 -5100.06
18900 1545.9 -5124.56
19000 1485.99 -5111.41
19100 1447.45 -5149.8
19200 1494 -5104.05
19300 1573.29 -5079.15
19400 1476.2 -5057.7
19500 1510.84 -5058.13
19600 1542.24 -5098.84
19700 1453.88 -5104.44
19800 1526.83 -5078.93
19900 1559.54 -5145.17
20000 1540.98 -5085.2
20100 1500.35 -5103.79
20200 1513.38 -5149.36
20300 1425.93 -5072.8
20400 1491.43 -5092.2
